#YY  MM DD hh mm ss T   HEIGHT
#yr  mo dy hr mn  s -        m
2011 03 15 00 00 00 1 5736.815
2011 03 14 23 45 00 1 5736.851
2011 03 14 23 30 00 1 5736.878
2011 03 14 23 15 00 1 5736.905
2011 03 14 23 00 00 1 5736.936
2011 03 14 22 45 00 1 5736.963
2011 03 14 22 30 00 1 5736.982
2011 03 14 22 15 00 1 5737.001
2011 03 14 22 00 00 1 5737.015
2011 03 14 21 45 00 1 5737.031
2011 03 14 21 30 00 1 5737.045
2011 03 14 21 15 00 1 5737.055
2011 03 14 21 00 00 1 5737.054
2011 03 14 20 45 00 1 5737.056
2011 03 14 20 30 00 1 5737.055
2011 03 14 20 15 00 1 5737.054
2011 03 14 20 00 00 1 5737.056
2011 03 14 19 45 00 1 5737.049
2011 03 14 19 30 00 1 5737.044
2011 03 14 19 15 00 1 5737.037
2011 03 14 19 00 00 1 5737.033
2011 03 14 18 45 00 1 5737.024
2011 03 14 18 30 00 1 5737.016
2011 03 14 18 15 00 1 5737.000
2011 03 14 18 00 00 1 5737.003
2011 03 14 17 45 00 1 5736.986
2011 03 14 17 30 00 1 5736.972
2011 03 14 17 15 00 1 5736.962
2011 03 14 17 00 00 1 5736.949
2011 03 14 16 45 00 1 5736.941
2011 03 14 16 30 00 1 5736.938
2011 03 14 16 15 00 1 5736.933
2011 03 14 16 00 00 1 5736.922
2011 03 14 15 45 00 1 5736.921
2011 03 14 15 30 00 1 5736.916
2011 03 14 15 15 00 1 5736.905
2011 03 14 15 00 00 1 5736.898
2011 03 14 14 45 00 1 5736.888
2011 03 14 14 30 00 1 5736.870
2011 03 14 14 15 00 1 5736.875
2011 03 14 14 00 00 1 5736.870
2011 03 14 13 45 00 1 5736.856
2011 03 14 13 30 00 1 5736.841
2011 03 14 13 15 00 1 5736.830
2011 03 14 13 00 00 1 5736.829
2011 03 14 12 45 00 1 5736.815
2011 03 14 12 30 00 1 5736.804
2011 03 14 12 15 00 1 5736.780
2011 03 14 12 00 00 1 5736.771
2011 03 14 11 45 00 1 5736.755
2011 03 14 11 30 00 1 5736.730
2011 03 14 11 15 00 1 5736.713
2011 03 14 11 00 00 1 5736.687
2011 03 14 10 45 00 1 5736.650
2011 03 14 10 30 00 1 5736.636
2011 03 14 10 15 00 1 5736.617
2011 03 14 10 00 00 1 5736.572
2011 03 14 09 45 00 1 5736.545
2011 03 14 09 30 00 1 5736.513
2011 03 14 09 15 00 1 5736.482
2011 03 14 09 00 00 1 5736.452
2011 03 14 08 45 00 1 5736.424
2011 03 14 08 30 00 1 5736.385
2011 03 14 08 15 00 1 5736.363
2011 03 14 08 00 00 1 5736.337
2011 03 14 07 45 00 1 5736.298
2011 03 14 07 30 00 1 5736.267
2011 03 14 07 15 00 1 5736.239
2011 03 14 07 00 00 1 5736.216
2011 03 14 06 45 00 1 5736.198
2011 03 14 06 30 00 1 5736.170
2011 03 14 06 15 00 1 5736.148
2011 03 14 06 00 00 1 5736.144
2011 03 14 05 45 00 1 5736.137
2011 03 14 05 30 00 1 5736.113
2011 03 14 05 15 00 1 5736.116
2011 03 14 05 00 00 1 5736.125
2011 03 14 04 45 00 1 5736.115
2011 03 14 04 30 00 1 5736.131
2011 03 14 04 15 00 1 5736.135
2011 03 14 04 00 00 1 5736.142
2011 03 14 03 45 00 1 5736.158
2011 03 14 03 30 00 1 5736.180
2011 03 14 03 15 00 1 5736.209
2011 03 14 03 00 00 1 5736.230
2011 03 14 02 45 00 1 5736.257
2011 03 14 02 30 00 1 5736.286
2011 03 14 02 15 00 1 5736.337
2011 03 14 02 00 00 1 5736.373
2011 03 14 01 45 00 1 5736.409
2011 03 14 01 30 00 1 5736.450
2011 03 14 01 15 00 1 5736.498
2011 03 14 01 00 00 1 5736.539
2011 03 14 00 45 00 1 5736.581
2011 03 14 00 30 00 1 5736.632
2011 03 14 00 15 00 1 5736.678
2011 03 14 00 00 00 1 5736.713
2011 03 13 23 45 00 1 5736.753
2011 03 13 23 30 00 1 5736.796
2011 03 13 23 15 00 1 5736.827
2011 03 13 23 00 00 1 5736.862
2011 03 13 22 45 00 1 5736.916
2011 03 13 22 30 00 1 5736.936
2011 03 13 22 15 00 1 5736.962
2011 03 13 22 00 00 1 5736.984
2011 03 13 21 45 00 1 5737.014
2011 03 13 21 30 00 1 5737.040
2011 03 13 21 15 00 1 5737.034
2011 03 13 21 00 00 1 5737.044
2011 03 13 20 45 00 1 5737.063
2011 03 13 20 30 00 1 5737.062
2011 03 13 20 15 00 1 5737.062
2011 03 13 20 00 00 1 5737.063
2011 03 13 19 45 00 1 5737.051
2011 03 13 19 30 00 1 5737.052
2011 03 13 19 15 00 1 5737.064
2011 03 13 19 00 00 1 5737.043
2011 03 13 18 45 00 1 5737.037
2011 03 13 18 30 00 1 5737.026
2011 03 13 18 15 00 1 5737.032
2011 03 13 18 00 00 1 5737.005
2011 03 13 17 45 00 1 5736.987
2011 03 13 17 30 00 1 5736.983
2011 03 13 17 15 00 1 5736.962
2011 03 13 17 00 00 1 5736.966
2011 03 13 16 45 00 1 5736.942
2011 03 13 16 30 00 1 5736.931
2011 03 13 16 15 00 1 5736.919
2011 03 13 16 00 00 1 5736.915
2011 03 13 15 45 00 1 5736.908
2011 03 13 15 30 00 1 5736.897
2011 03 13 15 15 00 1 5736.883
2011 03 13 15 00 00 1 5736.876
2011 03 13 14 45 00 1 5736.850
2011 03 13 14 30 00 1 5736.869
2011 03 13 14 15 00 1 5736.857
2011 03 13 14 00 00 1 5736.862
2011 03 13 13 45 00 1 5736.834
2011 03 13 13 30 00 1 5736.832
2011 03 13 13 15 00 1 5736.828
2011 03 13 13 00 00 1 5736.844
2011 03 13 12 45 00 1 5736.832
2011 03 13 12 30 00 1 5736.816
2011 03 13 12 15 00 1 5736.814
2011 03 13 12 00 00 1 5736.800
2011 03 13 11 45 00 1 5736.807
2011 03 13 11 30 00 1 5736.802
2011 03 13 11 15 00 1 5736.767
2011 03 13 11 00 00 1 5736.757
2011 03 13 10 45 00 1 5736.729
2011 03 13 10 30 00 1 5736.722
2011 03 13 10 15 00 1 5736.696
2011 03 13 10 00 00 1 5736.685
2011 03 13 09 45 00 1 5736.654
2011 03 13 09 30 00 1 5736.633
2011 03 13 09 15 00 1 5736.608
2011 03 13 09 00 00 1 5736.588
2011 03 13 08 45 00 1 5736.565
2011 03 13 08 30 00 1 5736.511
2011 03 13 08 15 00 1 5736.465
2011 03 13 08 00 00 1 5736.449
2011 03 13 07 45 00 1 5736.422
2011 03 13 07 30 00 1 5736.367
2011 03 13 07 15 00 1 5736.323
2011 03 13 07 00 00 1 5736.296
2011 03 13 06 45 00 1 5736.291
2011 03 13 06 30 00 1 5736.237
2011 03 13 06 15 00 1 5736.229
2011 03 13 05 00 00 1 5736.116
2011 03 13 04 45 00 1 5736.128
2011 03 13 04 30 00 1 5736.099
2011 03 13 04 15 00 1 5736.074
2011 03 13 04 00 00 1 5736.080
2011 03 13 03 45 00 1 5736.127
2011 03 13 03 30 00 1 5736.091
2011 03 13 03 15 00 1 5736.090
2011 03 13 03 00 00 1 5736.125
2011 03 13 02 45 00 1 5736.166
2011 03 13 02 30 00 1 5736.193
2011 03 13 02 15 00 1 5736.230
2011 03 13 02 00 00 1 5736.235
2011 03 13 01 45 00 1 5736.267
2011 03 13 01 30 00 1 5736.329
2011 03 13 01 15 00 1 5736.357
2011 03 13 01 00 00 1 5736.411
2011 03 13 00 45 00 1 5736.442
2011 03 13 00 30 00 1 5736.482
2011 03 13 00 15 00 1 5736.524
2011 03 13 00 00 00 1 5736.564
2011 03 12 23 45 00 1 5736.615
2011 03 12 23 30 00 1 5736.650
2011 03 12 23 15 00 1 5736.713
2011 03 12 23 00 00 1 5736.748
2011 03 12 22 45 00 1 5736.782
2011 03 12 22 30 00 1 5736.821
2011 03 12 22 15 00 1 5736.865
2011 03 12 22 00 00 1 5736.900
2011 03 12 21 45 00 1 5736.917
2011 03 12 21 30 00 1 5736.946
2011 03 12 21 15 00 1 5736.976
2011 03 12 20 45 00 1 5737.017
2011 03 12 20 15 00 1 5737.034
2011 03 12 19 45 00 1 5737.035
2011 03 12 19 15 00 1 5737.035
2011 03 12 18 45 00 1 5737.017
2011 03 12 18 15 00 1 5737.000
2011 03 12 16 59 00 2 5736.922
2011 03 12 16 58 00 2 5736.918
2011 03 12 16 57 00 2 5736.919
2011 03 12 16 56 00 2 5736.912
2011 03 12 16 55 00 2 5736.907
2011 03 12 16 54 00 2 5736.909
2011 03 12 16 53 00 2 5736.912
2011 03 12 16 52 00 2 5736.910
2011 03 12 16 51 00 2 5736.912
2011 03 12 16 50 00 2 5736.915
2011 03 12 16 49 00 2 5736.915
2011 03 12 16 48 00 2 5736.916
2011 03 12 16 47 00 2 5736.916
2011 03 12 16 46 00 2 5736.916
2011 03 12 16 45 00 2 5736.914
2011 03 12 16 44 00 2 5736.913
2011 03 12 16 43 00 2 5736.908
2011 03 12 16 42 00 2 5736.908
2011 03 12 16 41 00 2 5736.914
2011 03 12 16 40 00 2 5736.920
2011 03 12 16 39 00 2 5736.920
2011 03 12 16 38 00 2 5736.916
2011 03 12 16 37 00 2 5736.915
2011 03 12 16 36 00 2 5736.916
2011 03 12 16 35 00 2 5736.916
2011 03 12 16 34 00 2 5736.916
2011 03 12 16 33 00 2 5736.917
2011 03 12 16 32 00 2 5736.919
2011 03 12 16 31 00 2 5736.918
2011 03 12 16 30 00 2 5736.916
2011 03 12 16 29 00 2 5736.916
2011 03 12 16 28 00 2 5736.912
2011 03 12 16 27 00 2 5736.905
2011 03 12 16 26 00 2 5736.905
2011 03 12 16 25 00 2 5736.898
2011 03 12 16 24 00 2 5736.897
2011 03 12 16 23 00 2 5736.897
2011 03 12 16 22 00 2 5736.897
2011 03 12 16 21 00 2 5736.898
2011 03 12 16 20 00 2 5736.894
2011 03 12 16 19 00 2 5736.894
2011 03 12 16 18 00 2 5736.892
2011 03 12 16 17 00 2 5736.895
2011 03 12 16 16 00 2 5736.895
2011 03 12 16 15 00 2 5736.889
2011 03 12 16 14 00 2 5736.888
2011 03 12 16 13 00 2 5736.885
2011 03 12 16 12 00 2 5736.880
2011 03 12 16 11 00 2 5736.873
2011 03 12 16 10 00 2 5736.871
2011 03 12 16 09 00 2 5736.870
2011 03 12 16 08 00 2 5736.873
2011 03 12 16 07 00 2 5760.676
2011 03 12 16 06 00 2 5736.871
2011 03 12 16 05 00 2 5736.865
2011 03 12 16 04 00 2 5763.207
2011 03 12 16 03 00 2 5736.873
2011 03 12 16 02 00 2 5736.873
2011 03 12 16 01 00 2 5759.785
2011 03 12 16 00 00 2 5736.875
2011 03 12 15 59 00 2 5736.877
2011 03 12 15 58 00 2 5736.880
2011 03 12 15 57 00 2 5736.873
2011 03 12 15 56 00 2 5736.871
2011 03 12 15 55 00 2 5736.869
2011 03 12 15 54 00 2 5736.868
2011 03 12 15 53 00 2 5736.868
2011 03 12 15 52 00 2 5736.868
2011 03 12 15 51 00 2 5736.861
2011 03 12 15 50 00 2 5736.862
2011 03 12 15 49 00 2 5736.867
2011 03 12 15 48 00 2 5736.864
2011 03 12 15 47 00 2 5736.863
2011 03 12 15 46 00 2 5736.860
2011 03 12 15 45 00 2 5736.856
2011 03 12 15 44 00 2 5736.854
2011 03 12 15 43 00 2 5736.860
2011 03 12 15 42 00 2 5736.859
2011 03 12 15 41 00 2 5736.853
2011 03 12 15 40 00 2 5736.854
2011 03 12 15 39 00 2 5736.856
2011 03 12 15 38 00 2 5736.855
2011 03 12 15 37 00 2 5736.856
2011 03 12 15 36 00 2 5736.855
2011 03 12 15 35 00 2 5736.852
2011 03 12 15 34 00 2 5736.852
2011 03 12 15 33 00 2 5736.859
2011 03 12 15 32 00 2 5736.861
2011 03 12 15 31 00 2 5736.862
2011 03 12 15 30 00 2 5736.864
2011 03 12 15 29 00 2 5736.867
2011 03 12 15 28 00 2 5736.872
2011 03 12 15 27 00 2 5736.869
2011 03 12 15 26 00 2 5736.861
2011 03 12 15 25 00 2 5736.858
2011 03 12 15 24 00 2 5736.858
2011 03 12 15 23 00 2 5736.849
2011 03 12 15 22 00 2 5736.847
2011 03 12 15 21 00 2 5736.847
2011 03 12 15 20 00 2 5736.844
2011 03 12 15 19 00 2 5736.839
2011 03 12 15 18 00 2 5736.849
2011 03 12 15 17 00 2 5736.856
2011 03 12 15 16 00 2 5736.856
2011 03 12 15 15 00 2 5736.856
2011 03 12 15 14 00 2 5736.853
2011 03 12 15 13 00 2 5736.848
2011 03 12 15 12 00 2 5736.851
2011 03 12 15 11 00 2 5736.849
2011 03 12 15 10 00 2 5736.844
2011 03 12 15 09 00 2 5736.844
2011 03 12 15 08 00 2 5736.846
2011 03 12 15 07 00 2 5759.185
2011 03 12 15 06 00 2 5736.849
