#YY  MM DD hh mm ss T   HEIGHT
#yr  mo dy hr mn  s -        m
2011 03 13 17 37 00 1 4682.565
2011 03 13 17 22 00 1 4682.561
2011 03 13 17 07 00 1 4682.576
2011 03 13 16 52 00 1 4682.570
2011 03 13 16 37 00 1 4682.546
2011 03 13 16 22 00 1 4682.540
2011 03 13 16 07 00 1 4682.559
2011 03 13 15 52 00 1 4682.556
2011 03 13 15 37 00 1 4682.585
2011 03 13 15 22 00 1 4682.585
2011 03 13 15 07 00 1 4682.577
2011 03 13 14 52 00 1 4682.581
2011 03 13 14 37 00 1 4682.610
2011 03 13 14 22 00 1 4682.612
2011 03 13 14 07 00 1 4682.643
2011 03 13 13 52 00 1 4682.634
2011 03 13 13 37 00 1 4682.664
2011 03 13 13 22 00 1 4682.685
2011 03 13 13 07 00 1 4682.710
2011 03 13 12 52 00 1 4682.727
2011 03 13 12 37 00 1 4682.736
2011 03 13 12 22 00 1 4682.752
2011 03 13 12 07 00 1 4682.773
2011 03 13 11 52 00 1 4682.787
2011 03 13 11 37 00 1 4682.838
2011 03 13 11 22 00 1 4682.867
2011 03 13 11 07 00 1 4682.862
2011 03 13 10 52 00 1 4682.870
2011 03 13 10 37 00 1 4682.893
2011 03 13 10 22 00 1 4682.912
2011 03 13 10 07 00 1 4682.951
2011 03 13 09 52 00 1 4682.940
2011 03 13 09 37 00 1 4682.954
2011 03 13 09 22 00 1 4682.948
2011 03 13 09 07 00 1 4682.975
2011 03 13 08 52 00 1 4682.973
2011 03 13 08 37 00 1 4682.999
2011 03 13 08 22 00 1 4682.973
2011 03 13 08 07 00 1 4682.961
2011 03 13 07 52 00 1 4682.947
2011 03 13 07 37 00 1 4682.942
2011 03 13 07 22 00 1 4682.915
2011 03 13 07 07 00 1 4682.931
2011 03 13 06 52 00 1 4682.927
2011 03 13 06 37 00 1 4682.884
2011 03 13 06 22 00 1 4682.864
2011 03 13 06 07 00 1 4682.873
2011 03 13 05 52 00 1 4682.850
2011 03 13 05 37 00 1 4682.796
2011 03 13 05 22 00 1 4682.774
2011 03 13 05 07 00 1 4682.757
2011 03 13 04 52 00 1 4682.745
2011 03 13 04 37 00 1 4682.745
2011 03 13 04 22 00 1 4682.710
2011 03 13 04 07 00 1 4682.667
2011 03 13 03 52 00 1 4682.640
2011 03 13 03 37 00 1 4682.633
2011 03 13 03 22 00 1 4682.595
2011 03 13 03 07 00 1 4682.625
2011 03 13 02 52 00 1 4682.562
2011 03 13 02 37 00 1 4682.523
2011 03 13 02 22 00 1 4682.544
2011 03 13 02 07 00 1 4682.546
2011 03 13 01 52 00 1 4682.520
2011 03 13 01 37 00 1 4682.474
2011 03 13 01 22 00 1 4682.486
2011 03 13 01 07 00 1 4682.468
2011 03 13 00 52 00 1 4682.490
2011 03 13 00 37 00 1 4682.474
2011 03 13 00 22 00 1 4682.485
2011 03 13 00 07 00 1 4682.496
2011 03 12 23 52 00 1 4682.502
2011 03 12 23 37 00 1 4682.483
2011 03 12 23 22 00 1 4682.510
2011 03 12 23 07 00 1 4682.496
2011 03 12 22 52 00 1 4682.539
