#YY  MM DD hh mm ss T   HEIGHT
#yr  mo dy hr mn  s -        m
2011 03 19 00 00 00 1 4431.819
2011 03 18 23 45 00 1 4431.841
2011 03 18 23 30 00 1 4431.861
2011 03 18 23 15 00 1 4431.881
2011 03 18 23 00 00 1 4431.901
2011 03 18 22 45 00 1 4431.919
2011 03 18 22 30 00 1 4431.936
2011 03 18 22 15 00 1 4431.945
2011 03 18 22 00 00 1 4431.956
2011 03 18 21 45 00 1 4431.971
2011 03 18 21 30 00 1 4431.978
2011 03 18 21 15 00 1 4431.977
2011 03 18 21 00 00 1 4431.976
2011 03 18 20 45 00 1 4431.972
2011 03 18 20 30 00 1 4431.963
2011 03 18 20 15 00 1 4431.954
2011 03 18 20 00 00 1 4431.943
2011 03 18 19 45 00 1 4431.930
2011 03 18 19 30 00 1 4431.913
2011 03 18 19 15 00 1 4431.893
2011 03 18 19 00 00 1 4431.870
2011 03 18 18 45 00 1 4431.845
2011 03 18 18 30 00 1 4431.819
2011 03 18 18 15 00 1 4431.791
2011 03 18 18 00 00 1 4431.763
2011 03 18 17 45 00 1 4431.732
2011 03 18 17 30 00 1 4431.701
2011 03 18 17 15 00 1 4431.677
2011 03 18 17 00 00 1 4431.649
2011 03 18 16 45 00 1 4431.623
2011 03 18 16 30 00 1 4431.596
2011 03 18 16 15 00 1 4431.572
2011 03 18 16 00 00 1 4431.548
2011 03 18 15 45 00 1 4431.529
2011 03 18 15 30 00 1 4431.511
2011 03 18 15 15 00 1 4431.496
2011 03 18 15 00 00 1 4431.483
2011 03 18 14 45 00 1 4431.474
2011 03 18 14 30 00 1 4431.474
2011 03 18 14 15 00 1 4431.474
2011 03 18 14 00 00 1 4431.474
2011 03 18 13 45 00 1 4431.483
2011 03 18 13 30 00 1 4431.493
2011 03 18 13 15 00 1 4431.502
2011 03 18 13 00 00 1 4431.516
2011 03 18 12 45 00 1 4431.533
2011 03 18 12 30 00 1 4431.551
2011 03 18 12 15 00 1 4431.572
2011 03 18 12 00 00 1 4431.599
2011 03 18 11 45 00 1 4431.622
2011 03 18 11 30 00 1 4431.651
2011 03 18 11 15 00 1 4431.679
2011 03 18 11 00 00 1 4431.709
2011 03 18 10 45 00 1 4431.738
2011 03 18 10 30 00 1 4431.768
2011 03 18 10 15 00 1 4431.800
2011 03 18 10 00 00 1 4431.834
2011 03 18 09 45 00 1 4431.861
2011 03 18 09 30 00 1 4431.889
2011 03 18 09 15 00 1 4431.913
2011 03 18 09 00 00 1 4431.941
2011 03 18 08 45 00 1 4431.961
2011 03 18 08 30 00 1 4431.975
2011 03 18 08 15 00 1 4431.989
2011 03 18 08 00 00 1 4431.996
2011 03 18 07 45 00 1 4431.998
2011 03 18 07 30 00 1 4432.002
2011 03 18 07 15 00 1 4432.001
2011 03 18 07 00 00 1 4431.996
2011 03 18 06 45 00 1 4431.989
2011 03 18 06 30 00 1 4431.983
2011 03 18 06 15 00 1 4431.971
2011 03 18 06 00 00 1 4431.954
2011 03 18 05 45 00 1 4431.938
2011 03 18 05 30 00 1 4431.922
2011 03 18 05 15 00 1 4431.903
2011 03 18 05 00 00 1 4431.883
2011 03 18 04 45 00 1 4431.865
2011 03 18 04 30 00 1 4431.849
2011 03 18 04 15 00 1 4431.833
2011 03 18 04 00 00 1 4431.817
2011 03 18 03 45 00 1 4431.802
2011 03 18 03 30 00 1 4431.791
2011 03 18 03 15 00 1 4431.780
2011 03 18 03 00 00 1 4431.768
2011 03 18 02 45 00 1 4431.766
2011 03 18 02 30 00 1 4431.765
2011 03 18 02 15 00 1 4431.763
2011 03 18 02 00 00 1 4431.761
2011 03 18 01 45 00 1 4431.763
2011 03 18 01 30 00 1 4431.768
2011 03 18 01 15 00 1 4431.774
2011 03 18 01 00 00 1 4431.783
2011 03 18 00 45 00 1 4431.789
2011 03 18 00 30 00 1 4431.800
2011 03 18 00 15 00 1 4431.813
2011 03 18 00 00 00 1 4431.825
2011 03 17 23 45 00 1 4431.839
2011 03 17 23 30 00 1 4431.854
2011 03 17 23 15 00 1 4431.868
2011 03 17 23 00 00 1 4431.886
2011 03 17 22 45 00 1 4431.904
2011 03 17 22 30 00 1 4431.921
2011 03 17 22 15 00 1 4431.933
2011 03 17 22 00 00 1 4431.946
2011 03 17 21 45 00 1 4431.956
2011 03 17 21 30 00 1 4431.962
2011 03 17 21 15 00 1 4431.972
2011 03 17 21 00 00 1 4431.974
2011 03 17 20 45 00 1 4431.975
2011 03 17 20 30 00 1 4431.973
2011 03 17 20 15 00 1 4431.972
2011 03 17 20 00 00 1 4431.964
2011 03 17 19 45 00 1 4431.954
2011 03 17 19 30 00 1 4431.946
2011 03 17 19 15 00 1 4431.935
2011 03 17 19 00 00 1 4431.918
2011 03 17 18 45 00 1 4431.897
2011 03 17 18 30 00 1 4431.881
2011 03 17 18 15 00 1 4431.860
2011 03 17 18 00 00 1 4431.834
2011 03 17 17 45 00 1 4431.805
2011 03 17 17 30 00 1 4431.774
2011 03 17 17 15 00 1 4431.739
2011 03 17 17 00 00 1 4431.709
2011 03 17 16 45 00 1 4431.676
2011 03 17 16 30 00 1 4431.647
2011 03 17 16 15 00 1 4431.617
2011 03 17 16 00 00 1 4431.586
2011 03 17 15 45 00 1 4431.557
2011 03 17 15 30 00 1 4431.532
2011 03 17 15 15 00 1 4431.506
2011 03 17 15 00 00 1 4431.484
2011 03 17 14 45 00 1 4431.465
2011 03 17 14 30 00 1 4431.447
2011 03 17 14 15 00 1 4431.438
2011 03 17 14 00 00 1 4431.429
2011 03 17 13 45 00 1 4431.422
2011 03 17 13 30 00 1 4431.417
2011 03 17 13 15 00 1 4431.418
2011 03 17 13 00 00 1 4431.422
2011 03 17 12 45 00 1 4431.428
2011 03 17 12 30 00 1 4431.436
2011 03 17 12 15 00 1 4431.452
2011 03 17 12 00 00 1 4431.468
2011 03 17 11 45 00 1 4431.486
2011 03 17 11 30 00 1 4431.505
2011 03 17 11 15 00 1 4431.532
2011 03 17 11 00 00 1 4431.560
2011 03 17 10 45 00 1 4431.592
2011 03 17 10 30 00 1 4431.626
2011 03 17 10 15 00 1 4431.661
2011 03 17 10 00 00 1 4431.694
2011 03 17 09 45 00 1 4431.728
2011 03 17 09 30 00 1 4431.760
2011 03 17 09 15 00 1 4431.793
2011 03 17 09 00 00 1 4431.822
2011 03 17 08 45 00 1 4431.853
2011 03 17 08 30 00 1 4431.882
2011 03 17 08 15 00 1 4431.911
2011 03 17 08 00 00 1 4431.935
2011 03 17 07 45 00 1 4431.959
2011 03 17 07 30 00 1 4431.979
2011 03 17 07 15 00 1 4431.993
2011 03 17 07 00 00 1 4432.006
2011 03 17 06 45 00 1 4432.014
2011 03 17 06 30 00 1 4432.023
2011 03 17 06 15 00 1 4432.028
2011 03 17 06 00 00 1 4432.030
2011 03 17 05 45 00 1 4432.022
2011 03 17 05 30 00 1 4432.016
2011 03 17 05 15 00 1 4432.006
2011 03 17 05 00 00 1 4431.996
2011 03 17 04 45 00 1 4431.986
2011 03 17 04 30 00 1 4431.973
2011 03 17 04 15 00 1 4431.958
2011 03 17 04 00 00 1 4431.941
2011 03 17 03 45 00 1 4431.930
2011 03 17 03 30 00 1 4431.916
2011 03 17 03 15 00 1 4431.900
2011 03 17 03 00 00 1 4431.888
2011 03 17 02 45 00 1 4431.876
2011 03 17 02 30 00 1 4431.867
2011 03 17 02 15 00 1 4431.859
2011 03 17 02 00 00 1 4431.856
2011 03 17 01 45 00 1 4431.848
2011 03 17 01 30 00 1 4431.843
2011 03 17 01 15 00 1 4431.842
